transformer_id,h2,ch4,c2h4,c2h6,c2h2,co,co2,o2,n2,original_fault,iec_fault,iec_code,ratio_c2h2_c2h4,ratio_ch4_h2,ratio_c2h4_c2h6,is_abnormal
35,7,27,0,0,0,,,0.2,0.2,NA,Normal,,,3.8571,,0
36,5,269,399,51,2,,,0.2,0.2,NA,高温过热>700℃,0-2-2,0.005,53.8,7.8235,1
37,6,196,388,85,3,,,0.2,0.2,NA,高温过热>700℃,0-2-2,0.0077,32.6667,4.5647,1
38,5,46,165,40,8,,,0.2,0.2,NA,高温过热>700℃,0-2-2,0.0485,9.2,4.125,1
39,6,19,108,17,0,,,0.2,0.2,NA,Normal,0-2-2,0.0,3.1667,6.3529,0
40,7,24,57,11,0,,,0.2,0.2,NA,Normal,0-2-2,0.0,3.4286,5.1818,0
41,9,14,93,6,3,,,0.2,0.2,NA,Normal,0-2-2,0.0323,1.5556,15.5,0
42,11,29,59,6,1,,,0.2,0.2,NA,Normal,0-2-2,0.0169,2.6364,9.8333,0
43,8,91,198,32,1,,,0.2,0.2,NA,高温过热>700℃,0-2-2,0.0051,11.375,6.1875,1
44,9,269,399,51,2,,,0.2,0.2,NA,高温过热>700℃,0-2-2,0.005,29.8889,7.8235,1
45,8,196,388,85,3,,,0.2,0.2,NA,高温过热>700℃,0-2-2,0.0077,24.5,4.5647,1
46,10,46,165,40,8,,,0.2,0.2,NA,高温过热>700℃,0-2-2,0.0485,4.6,4.125,1
47,47.2,27.4,28.5,0.1,0.1,150,,,,NA,Normal,0-0-2,0.0035,0.5805,285.0,0
48,4.2,1.5,2.18,0.57,0.03,150,,,,NA,Normal,,,,,0
49,1,3.76,1,12.9,0.7,45,,,,NA,Normal,1-2-0,0.7,3.76,0.0775,0
50,2.1,83.5,49.9,51.3,0.9,30,,,,NA,低温过热150~300℃,0-2-0,0.018,39.7619,0.9727,1
51,111,100.1,100.6,37,4.3,100,,,,NA,异常-未明类,0-0-1,0.0427,0.9018,2.7189,1
52,19.1,72.7,91.5,33.2,24.7,170,,,,NA,电弧放电兼过热,1-2-1,0.2699,3.8063,2.756,1
53,19.1,111.9,111.6,3.4,1.1,170,,,,NA,高温过热>700℃,0-2-2,0.0099,5.8586,32.8235,1
54,12.9,329,329,7.4,0.6,240,,,,NA,高温过热>700℃,0-2-2,0.0018,25.5039,44.4595,1
55,31.9,25.9,157,15.1,1.1,240,,,,NA,高温过热>700℃,0-0-2,0.007,0.8119,10.3974,1
56,68.2,211.7,229.4,56.4,4.7,180,,,,NA,高温过热>700℃,0-2-2,0.0205,3.1041,4.0674,1
